species_id,evolves_to_id,min_level,item_required
1,2,16,
2,3,32,
4,5,16,
5,6,36,
7,8,16,
8,9,36,
10,11,7,
11,12,10,
13,14,7,
14,15,10,
16,17,18,
17,18,36,
19,20,20,
21,22,20,
23,24,22,
25,26,0,THUNDER_STONE
27,28,22,
29,30,16,
30,31,0,MOON_STONE
32,33,16,
33,34,0,MOON_STONE
35,36,0,MOON_STONE
37,38,0,FIRE_STONE
39,40,0,MOON_STONE
41,42,22,
43,44,21,
44,45,0,LEAF_STONE
46,47,24,
48,49,31,
50,51,26,
52,53,28,
54,55,33,
56,57,28,
58,59,0,FIRE_STONE
60,61,25,
61,62,0,WATER_STONE
63,64,16,
64,65,0,LINK_CABLE
66,67,28,
67,68,0,LINK_CABLE
69,70,21,
70,71,0,LEAF_STONE
72,73,30,
74,75,25,
75,76,0,LINK_CABLE
77,78,40,
79,80,37,
81,82,30,
84,85,31,
86,87,34,
88,89,38,
90,91,0,WATER_STONE
92,93,25,
93,94,0,LINK_CABLE
96,97,26,
98,99,28,
100,101,30,
102,103,0,LEAF_STONE
104,105,28,
109,110,35,
111,112,42,
116,117,32,
118,119,33,
120,121,0,WATER_STONE
129,130,20,
133,134,0,WATER_STONE
133,135,0,THUNDER_STONE
133,136,0,FIRE_STONE
140,141,40,
147,148,30,
148,149,55,
