species_id,move_id,level
1,33,1
1,45,1
1,73,7
1,22,13
1,77,20
1,75,27
1,74,34
1,79,41
1,76,48
2,33,1
2,45,1
2,73,1
2,73,7
2,22,13
2,77,22
2,75,30
2,74,38
2,79,46
2,76,54
3,22,1
3,33,1
3,45,1
3,73,1
3,73,7
3,22,13
3,77,22
3,75,30
3,74,43
3,79,55
3,76,65
4,10,1
4,45,1
4,52,9
4,43,15
4,99,22
4,163,30
4,53,38
4,83,46
5,10,1
5,45,1
5,52,1
5,52,9
5,43,15
5,99,24
5,163,33
5,53,42
5,83,56
6,10,1
6,43,1
6,45,1
6,52,1
6,52,9
6,43,15
6,99,24
6,163,36
6,53,46
6,83,55
7,33,1
7,39,1
7,145,8
7,55,15
7,44,22
7,110,28
7,130,35
7,56,42
8,33,1
8,39,1
8,145,1
8,145,8
8,55,15
8,44,24
8,110,31
8,130,39
8,56,47
9,33,1
9,39,1
9,55,1
9,145,1
9,145,8
9,55,15
9,44,24
9,110,31
9,130,42
9,56,52
10,33,1
10,81,1
11,106,1
12,93,1
12,93,12
12,77,15
12,78,16
12,79,17
12,48,21
12,18,26
12,60,32
13,40,1
13,81,1
14,106,1
15,31,1
15,31,12
15,116,16
15,41,20
15,99,25
15,42,30
15,97,35
16,16,1
16,28,5
16,98,12
16,18,19
16,17,28
16,97,36
16,119,44
17,16,1
17,28,1
17,28,5
17,98,12
17,18,21
17,17,31
17,97,40
17,119,49
18,16,1
18,28,1
18,98,1
18,28,5
18,98,12
18,18,21
18,17,31
18,97,44
18,119,54
19,33,1
19,39,1
19,98,7
19,158,14
19,116,23
19,162,34
20,33,1
20,39,1
20,98,1
20,98,7
20,158,14
20,116,27
20,162,41
21,45,1
21,64,1
21,43,9
21,31,15
21,119,22
21,65,29
21,97,36
22,43,1
22,45,1
22,64,1
22,43,9
22,31,15
22,119,25
22,65,34
22,97,43
23,35,1
23,43,1
23,40,10
23,44,17
23,137,24
23,103,31
23,51,38
24,35,1
24,40,1
24,43,1
24,40,10
24,44,17
24,137,27
24,103,36
24,51,47
25,45,1
25,84,1
25,86,9
25,98,16
25,129,26
25,97,33
25,87,43
26,45,1
26,84,1
26,86,1
27,10,1
27,28,10
27,163,17
27,40,24
27,129,31
27,154,38
28,10,1
28,28,1
28,28,10
28,163,17
28,40,27
28,129,36
28,154,47
29,33,1
29,45,1
29,10,8
29,40,14
29,39,21
29,44,29
29,154,36
29,24,43
30,10,1
30,33,1
30,45,1
30,10,8
30,40,14
30,39,23
30,44,32
30,154,41
30,24,50
31,10,1
31,33,1
31,34,1
31,39,1
31,10,8
31,40,14
31,34,23
32,33,1
32,43,1
32,30,8
32,40,14
32,116,21
32,31,29
32,32,36
32,24,43
33,30,1
33,33,1
33,43,1
33,30,8
33,40,14
33,116,23
33,31,32
33,32,41
33,24,50
34,30,1
34,33,1
34,37,1
34,40,1
34,30,8
34,40,14
34,37,23
35,1,1
35,45,1
35,47,13
35,3,18
35,107,24
35,118,31
35,111,39
35,113,48
36,3,1
36,47,1
36,107,1
36,118,1
37,39,1
37,52,1
37,98,16
37,46,21
37,109,28
37,53,35
37,83,42
38,39,1
38,46,1
38,52,1
38,98,1
39,47,1
39,1,9
39,50,14
39,111,19
39,3,24
39,156,29
39,34,34
39,38,39
40,3,1
40,47,1
40,50,1
40,111,1
41,141,1
41,48,10
41,44,15
41,109,21
41,17,28
41,114,36
42,44,1
42,103,1
42,141,1
42,48,10
42,44,15
42,109,21
42,17,32
42,114,43
43,71,1
43,77,15
43,78,17
43,79,19
43,51,24
43,80,33
43,76,46
44,71,1
44,77,1
44,78,1
44,77,15
44,78,17
44,79,19
44,51,28
44,80,38
44,76,52
45,51,1
45,78,1
45,79,1
45,80,1
45,77,15
45,78,17
45,79,19
46,10,1
46,78,13
46,141,20
46,147,27
46,163,34
46,74,41
47,10,1
47,78,1
47,141,1
47,78,13
47,141,20
47,147,30
47,163,39
47,74,48
48,33,1
48,50,1
48,77,24
48,141,27
48,78,30
48,60,35
48,79,38
48,94,43
49,33,1
49,50,1
49,77,1
49,141,1
49,77,24
49,141,27
49,78,30
49,60,38
49,79,43
49,94,50
50,10,1
50,45,15
50,91,19
50,28,24
50,163,31
50,89,40
51,10,1
51,45,1
51,91,1
51,45,15
51,91,19
51,28,24
51,163,35
51,89,47
52,10,1
52,45,1
52,44,12
52,6,17
52,103,24
52,154,33
52,163,44
53,10,1
53,44,1
53,45,1
53,103,1
53,44,12
53,6,17
53,103,24
53,154,37
53,163,51
54,10,1
54,39,28
54,50,31
54,93,36
54,154,43
54,56,52
55,10,1
55,39,1
55,50,1
55,39,28
55,50,31
55,93,39
55,154,48
55,56,59
56,10,1
56,43,1
56,2,15
56,154,21
56,116,27
56,69,33
56,37,39
57,2,1
57,10,1
57,43,1
57,154,1
57,2,15
57,154,21
57,116,27
57,69,37
57,37,46
58,44,1
58,46,1
58,52,18
58,43,23
58,36,30
58,97,39
58,53,50
59,36,1
59,43,1
59,46,1
59,52,1
60,145,1
60,95,16
60,55,19
60,3,25
60,34,31
60,133,38
60,56,45
61,55,1
61,95,1
61,145,1
61,95,16
61,55,19
61,3,26
61,34,33
61,133,41
61,56,49
62,3,1
62,34,1
62,55,1
62,95,1
62,95,16
62,55,19
63,100,1
64,50,1
64,93,1
64,100,1
64,93,16
64,50,20
64,60,27
64,105,31
64,94,38
64,115,42
65,50,1
65,93,1
65,100,1
65,93,16
65,50,20
65,60,27
65,105,31
65,94,38
65,115,42
66,2,1
66,67,20
66,43,25
66,116,32
66,69,39
66,66,46
67,2,1
67,43,1
67,67,1
67,67,20
67,43,25
67,116,36
67,69,44
67,66,52
68,2,1
68,43,1
68,67,1
68,67,20
68,43,25
68,116,36
68,69,44
68,66,52
69,22,1
69,74,1
69,35,13
69,77,15
69,79,18
69,78,21
69,51,26
69,75,33
69,21,42
70,22,1
70,35,1
70,74,1
70,35,13
70,77,15
70,79,18
70,78,23
70,51,29
