id,name,type,category,power,accuracy,pp,priority,min_hits,max_hits,ailment,ailment_chance,crit_rate,drain,healing,flinch_chance,stat_chance,target,stat_changes
1,Pound,Normal,Physical,40,100,35,0,1,1,,0,0,0,0,0,0,foe,
2,Karate Chop,Fighting,Physical,50,100,25,0,1,1,,0,1,0,0,0,0,foe,
3,Double Slap,Normal,Physical,15,85,10,0,2,5,,0,0,0,0,0,0,foe,
4,Comet Punch,Normal,Physical,18,85,15,0,2,5,,0,0,0,0,0,0,foe,
5,Mega Punch,Normal,Physical,80,85,20,0,1,1,,0,0,0,0,0,0,foe,
6,Pay Day,Normal,Physical,40,100,20,0,1,1,,0,0,0,0,0,0,foe,
7,Fire Punch,Fire,Physical,75,100,15,0,1,1,BURN,10,0,0,0,0,0,foe,
8,Ice Punch,Ice,Physical,75,100,15,0,1,1,FREEZE,10,0,0,0,0,0,foe,
9,Thunder Punch,Electric,Physical,75,100,15,0,1,1,PARALYZE,10,0,0,0,0,0,foe,
10,Scratch,Normal,Physical,40,100,35,0,1,1,,0,0,0,0,0,0,foe,
11,Vice Grip,Normal,Physical,55,100,30,0,1,1,,0,0,0,0,0,0,foe,
12,Guillotine,Normal,Physical,0,30,5,0,1,1,,0,0,0,0,0,0,foe,
13,Razor Wind,Normal,Special,80,100,10,0,1,1,,0,1,0,0,0,0,foe,
14,Swords Dance,Normal,Status,0,0,20,0,1,1,,0,0,0,0,0,0,self,atk:2
15,Cut,Normal,Physical,50,95,30,0,1,1,,0,0,0,0,0,0,foe,
16,Gust,Flying,Special,40,100,35,0,1,1,,0,0,0,0,0,0,foe,
17,Wing Attack,Flying,Physical,60,100,35,0,1,1,,0,0,0,0,0,0,foe,
18,Whirlwind,Normal,Status,0,0,20,-6,1,1,,0,0,0,0,0,0,foe,
19,Fly,Flying,Physical,90,95,15,0,1,1,,0,0,0,0,0,0,foe,
20,Bind,Normal,Physical,15,85,20,0,1,1,,100,0,0,0,0,0,foe,
21,Slam,Normal,Physical,80,75,20,0,1,1,,0,0,0,0,0,0,foe,
22,Vine Whip,Grass,Physical,45,100,25,0,1,1,,0,0,0,0,0,0,foe,
23,Stomp,Normal,Physical,65,100,20,0,1,1,,0,0,0,0,30,0,foe,
24,Double Kick,Fighting,Physical,30,100,30,0,2,2,,0,0,0,0,0,0,foe,
25,Mega Kick,Normal,Physical,120,75,5,0,1,1,,0,0,0,0,0,0,foe,
26,Jump Kick,Fighting,Physical,100,95,10,0,1,1,,0,0,0,0,0,0,foe,
27,Rolling Kick,Fighting,Physical,60,85,15,0,1,1,,0,0,0,0,30,0,foe,
28,Sand Attack,Ground,Status,0,100,15,0,1,1,,0,0,0,0,0,0,foe,acc:-1
29,Headbutt,Normal,Physical,70,100,15,0,1,1,,0,0,0,0,30,0,foe,
30,Horn Attack,Normal,Physical,65,100,25,0,1,1,,0,0,0,0,0,0,foe,
31,Fury Attack,Normal,Physical,15,85,20,0,2,5,,0,0,0,0,0,0,foe,
32,Horn Drill,Normal,Physical,0,30,5,0,1,1,,0,0,0,0,0,0,foe,
33,Tackle,Normal,Physical,40,100,35,0,1,1,,0,0,0,0,0,0,foe,
34,Body Slam,Normal,Physical,85,100,15,0,1,1,PARALYZE,30,0,0,0,0,0,foe,
35,Wrap,Normal,Physical,15,90,20,0,1,1,,100,0,0,0,0,0,foe,
36,Take Down,Normal,Physical,90,85,20,0,1,1,,0,0,-25,0,0,0,foe,
37,Thrash,Normal,Physical,120,100,10,0,1,1,,0,0,0,0,0,0,foe,
38,Double Edge,Normal,Physical,120,100,15,0,1,1,,0,0,-33,0,0,0,foe,
39,Tail Whip,Normal,Status,0,100,30,0,1,1,,0,0,0,0,0,0,foe,def:-1
40,Poison Sting,Poison,Physical,15,100,35,0,1,1,POISON,30,0,0,0,0,0,foe,
41,Twineedle,Bug,Physical,25,100,20,0,2,2,POISON,20,0,0,0,0,0,foe,
42,Pin Missile,Bug,Physical,25,95,20,0,2,5,,0,0,0,0,0,0,foe,
43,Leer,Normal,Status,0,100,30,0,1,1,,0,0,0,0,0,100,foe,def:-1
44,Bite,Dark,Physical,60,100,25,0,1,1,,0,0,0,0,30,0,foe,
45,Growl,Normal,Status,0,100,40,0,1,1,,0,0,0,0,0,0,foe,atk:-1
46,Roar,Normal,Status,0,0,20,-6,1,1,,0,0,0,0,0,0,foe,
47,Sing,Normal,Status,0,55,15,0,1,1,SLEEP,0,0,0,0,0,0,foe,
48,Supersonic,Normal,Status,0,55,20,0,1,1,CONFUSE,0,0,0,0,0,0,foe,
49,Sonic Boom,Normal,Special,0,90,20,0,1,1,,0,0,0,0,0,0,foe,
50,Disable,Normal,Status,0,100,20,0,1,1,,0,0,0,0,0,0,foe,
51,Acid,Poison,Special,40,100,30,0,1,1,,0,0,0,0,0,10,foe,spd:-1
52,Ember,Fire,Special,40,100,25,0,1,1,BURN,10,0,0,0,0,0,foe,
53,Flamethrower,Fire,Special,90,100,15,0,1,1,BURN,10,0,0,0,0,0,foe,
54,Mist,Ice,Status,0,0,30,0,1,1,,0,0,0,0,0,0,self,
55,Water Gun,Water,Special,40,100,25,0,1,1,,0,0,0,0,0,0,foe,
