id,name,type1,type2,rarity,hp,attack,defense,sp_atk,sp_def,speed
1,Bulbasaur,Grass,Poison,1,45,49,49,65,65,45
2,Ivysaur,Grass,Poison,2,60,62,63,80,80,60
3,Venusaur,Grass,Poison,4,80,82,83,100,100,80
4,Charmander,Fire,,1,39,52,43,60,50,65
5,Charmeleon,Fire,,2,58,64,58,80,65,80
6,Charizard,Fire,Flying,4,78,84,78,109,85,100
7,Squirtle,Water,,1,44,48,65,50,64,43
8,Wartortle,Water,,2,59,63,80,65,80,58
9,Blastoise,Water,,4,79,83,100,85,105,78
10,Caterpie,Bug,,1,45,30,35,20,20,45
11,Metapod,Bug,,1,50,20,55,25,25,30
12,Butterfree,Bug,Flying,1,60,45,50,90,80,70
13,Weedle,Bug,Poison,1,40,35,30,20,20,50
14,Kakuna,Bug,Poison,1,45,25,50,25,25,35
15,Beedrill,Bug,Poison,1,65,90,40,45,80,75
16,Pidgey,Normal,Flying,1,40,45,40,35,35,56
17,Pidgeotto,Normal,Flying,1,63,60,55,50,50,71
18,Pidgeot,Normal,Flying,3,83,80,75,70,70,101
19,Rattata,Normal,,1,30,56,35,25,35,72
20,Raticate,Normal,,2,55,81,60,50,70,97
21,Spearow,Normal,Flying,1,40,60,30,31,31,70
22,Fearow,Normal,Flying,2,65,90,65,61,61,100
23,Ekans,Poison,,1,35,60,44,40,54,55
24,Arbok,Poison,,2,60,95,69,65,79,80
25,Pikachu,Electric,,1,35,55,40,50,50,90
26,Raichu,Electric,,3,60,90,55,90,80,110
27,Sandshrew,Ground,,1,50,75,85,20,30,40
28,Sandslash,Ground,,3,75,100,110,45,55,65
30,Nidorina,Poison,,1,70,62,67,55,55,56
31,Nidoqueen,Poison,Ground,4,90,92,87,75,85,76
33,Nidorino,Poison,,1,61,72,57,55,55,65
34,Nidoking,Poison,Ground,4,81,102,77,85,75,85
35,Clefairy,Fairy,,1,70,45,48,60,65,35
36,Clefable,Fairy,,3,95,70,73,95,90,60
37,Vulpix,Fire,,1,38,41,40,50,65,65
38,Ninetales,Fire,,4,73,76,75,81,100,100
39,Jigglypuff,Normal,Fairy,1,115,45,20,45,25,20
40,Wigglytuff,Normal,Fairy,2,140,70,45,85,50,45
41,Zubat,Poison,Flying,1,40,45,35,30,40,55
42,Golbat,Poison,Flying,3,75,80,70,65,75,90
43,Oddish,Grass,Poison,1,45,50,55,75,65,30
